iter	Passed	Remaining
0	2	668
1	3	536
2	5	518
3	6	483
4	7	461
5	9	452
6	10	442
7	11	433
8	13	427
9	14	420
10	15	413
11	16	407
12	18	402
13	20	413
14	21	408
15	22	404
16	24	401
17	25	397
18	26	394
19	27	391
20	29	389
21	30	387
22	32	387
23	33	386
24	35	385
25	36	385
26	38	384
27	39	384
28	40	382
29	42	382
30	44	383
31	45	382
32	47	381
33	48	379
34	50	378
35	51	376
36	52	376
37	54	376
38	56	376
39	57	375
40	59	373
41	60	372
42	62	371
43	63	368
44	64	366
45	66	364
46	67	362
47	68	360
48	70	359
49	71	357
50	72	356
51	74	354
52	76	356
53	78	355
54	79	354
55	80	351
56	82	350
57	83	348
58	84	345
59	86	344
60	87	341
61	88	339
62	89	338
63	91	336
64	92	334
65	93	332
66	95	331
67	96	329
68	98	329
69	99	327
70	101	325
71	102	324
72	103	322
73	105	320
74	106	318
75	107	317
76	109	315
77	110	315
78	112	314
79	113	313
80	115	312
81	117	312
82	119	311
83	120	309
84	121	307
85	123	306
86	124	305
87	126	303
88	127	302
89	129	301
90	130	299
91	131	297
92	132	295
93	134	294
94	135	292
95	136	290
96	138	289
97	139	287
98	140	285
99	142	284
100	143	283
101	145	282
102	146	280
103	148	279
104	149	277
105	150	275
106	152	274
107	153	272
108	154	271
109	156	269
110	157	268
111	159	267
112	160	265
113	162	264
114	163	262
115	164	261
116	165	259
117	167	257
118	168	256
119	170	255
120	171	253
121	172	251
122	174	250
123	175	248
124	176	247
125	178	245
126	179	244
127	180	242
128	182	241
129	183	239
130	185	238
131	186	237
132	187	236
133	189	234
134	190	233
135	192	231
136	193	230
137	195	229
138	196	227
139	197	226
140	199	224
141	200	223
142	201	221
143	203	220
144	204	218
145	206	217
146	207	215
147	208	214
148	210	213
149	211	211
150	213	210
151	214	208
152	215	207
153	217	206
154	218	204
155	220	203
156	222	202
157	223	201
158	225	199
159	226	198
160	228	196
161	229	195
162	231	194
163	233	193
164	234	191
165	235	190
166	237	188
167	238	187
168	240	186
169	241	184
170	242	183
171	244	181
172	245	180
173	246	178
174	248	177
175	249	176
176	251	174
177	252	173
178	254	171
179	255	170
180	257	169
181	258	167
182	260	166
183	262	165
184	263	163
185	265	162
186	266	160
187	267	159
188	269	158
189	270	156
190	272	155
191	273	153
192	274	152
193	276	151
194	277	149
195	279	148
196	281	147
197	282	145
198	284	144
199	285	142
200	286	141
201	288	139
202	289	138
203	290	136
204	292	135
205	293	134
206	295	132
207	297	131
208	298	130
209	300	128
210	301	127
211	302	125
212	304	124
213	305	122
214	306	121
215	308	119
216	309	118
217	310	116
218	312	115
219	313	113
220	314	112
221	316	111
222	317	109
223	319	108
224	320	106
225	321	105
226	323	103
227	324	102
228	326	101
229	327	99
230	328	98
231	330	96
232	331	95
233	332	93
234	334	92
235	335	91
236	337	89
237	338	88
238	339	86
239	341	85
240	342	83
241	344	82
242	345	81
243	347	79
244	348	78
245	349	76
246	351	75
247	352	73
248	353	72
249	355	71
250	356	69
251	357	68
252	359	66
253	360	65
254	361	63
255	363	62
256	364	60
257	365	59
258	367	58
259	368	56
260	369	55
261	371	53
262	372	52
263	374	51
264	375	49
265	376	48
266	378	46
267	379	45
268	381	43
269	382	42
270	384	41
271	385	39
272	386	38
273	388	36
274	390	35
275	391	34
276	392	32
277	394	31
278	395	29
279	396	28
280	398	26
281	399	25
282	401	24
283	403	22
284	404	21
285	406	19
286	407	18
287	409	17
288	411	15
289	412	14
290	413	12
291	415	11
292	416	9
293	418	8
294	419	7
295	421	5
296	422	4
297	424	2
298	425	1
299	427	0
